Loss,Time,Solver,Subset,p
3.977135169103236e+16,0.03749561309814453,SGD,Train,2
3.982112300210259e+16,0.03749561309814453,SGD,Test,2
162248.87231939193,0.0002608299255371094,Analytic,Train,2
126389.96201097388,0.0002608299255371094,Analytic,Test,2
7.598582623291225e+23,0.01628875732421875,SGD,Train,2
7.601165798526703e+23,0.01628875732421875,SGD,Test,2
162248.87231939193,0.00019431114196777344,Analytic,Train,2
126389.96201097388,0.00019431114196777344,Analytic,Test,2
3.171289197485009e+17,0.026144742965698242,SGD,Train,2
3.3954867814136557e+17,0.026144742965698242,SGD,Test,2
162248.87231939193,0.00017714500427246094,Analytic,Train,2
126389.96201097388,0.00017714500427246094,Analytic,Test,2
1.0717123858061696e+24,0.0212099552154541,SGD,Train,2
1.0720718092635492e+24,0.0212099552154541,SGD,Test,2
162248.87231939193,0.00038623809814453125,Analytic,Train,2
126389.96201097388,0.00038623809814453125,Analytic,Test,2
1.4764890298931179e+24,0.019257068634033203,SGD,Train,2
1.476991965587004e+24,0.019257068634033203,SGD,Test,2
162248.87231939193,0.0001811981201171875,Analytic,Train,2
126389.96201097388,0.0001811981201171875,Analytic,Test,2
8.421174354545422e+18,0.02384495735168457,SGD,Train,2
8.441793971737945e+18,0.02384495735168457,SGD,Test,2
162248.87231939193,0.0001811981201171875,Analytic,Train,2
126389.96201097388,0.0001811981201171875,Analytic,Test,2
3.798058436401276e+16,0.026747465133666992,SGD,Train,2
3.863878325378984e+16,0.026747465133666992,SGD,Test,2
162248.87231939193,0.00017976760864257812,Analytic,Train,2
126389.96201097388,0.00017976760864257812,Analytic,Test,2
2.193617716313065e+23,0.015898466110229492,SGD,Train,2
2.1943904136209575e+23,0.015898466110229492,SGD,Test,2
162248.87231939193,0.00018072128295898438,Analytic,Train,2
126389.96201097388,0.00018072128295898438,Analytic,Test,2
232433073561678.47,0.02422308921813965,SGD,Train,2
259777297594540.06,0.02422308921813965,SGD,Test,2
162248.87231939193,0.00019049644470214844,Analytic,Train,2
126389.96201097388,0.00019049644470214844,Analytic,Test,2
278883213692303.97,0.02491164207458496,SGD,Train,2
299854016039257.75,0.02491164207458496,SGD,Test,2
162248.87231939193,0.00020694732666015625,Analytic,Train,2
126389.96201097388,0.00020694732666015625,Analytic,Test,2
3.3723530405852884e+23,0.015769243240356445,SGD,Train,2
3.373501567376787e+23,0.015769243240356445,SGD,Test,2
162248.87231939193,0.0001761913299560547,Analytic,Train,2
126389.96201097388,0.0001761913299560547,Analytic,Test,2
1765668318391454.5,0.02060246467590332,SGD,Train,2
